Company Name,Ticker,Type,Gross Exp Ratio,Net Exp Ratio,Total Assets,Ann Dividend/Yield,Distribution Yield,Fund Inception,1m MR,3m MR,6m MR,YTD MR,1yr MR,3yr MR,5yr MR,10yr MR,Inception MR,Cur Price,EPS,P/E Ratio,Market Cap,Link,Prospectus,Description
Vanguard ESG U.S. Stock ETFCboe Consolidated Listings:ESGV    ,ESGV,ETF Profile,0.09%,0.09%,$6B,$0.8344/1.03%,0.95%,09/18/2018,+3.96%,+10.12%,+10.54%,+26.56%,+26.56%,+28.49%,--,--,+19.94%,$79.29 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ESGV&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ESGV,"The investment seeks to track the performance of the FTSE US All Cap Choice Index.The adviser attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index. The index, which is market-capitalization weighted, is composed of large-, mid-, and small-cap stocks of companies located in the United States that are screened for certain environmental, social, and corporate governance (ESG) criteria by the index sponsor, which is independent of Vanguard."
iShares MSCI USA ESG Select ETFNYSE Arca:SUSA    ,SUSA,ETF Profile,0.25%,0.25%,$5B,$1.04/1.06%,0.98%,01/24/2005,+4.64%,+11.04%,+11.87%,+30.45%,+30.45%,+29.04%,+19.96%,+16.16%,+10.62%,$96.61 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=SUSA&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SUSA,"The investment seeks to track the investment results of the MSCI USA Extended ESG Select Index composed of U.S. companies that have positive environmental, social and governance characteristics as identified by the index provider.The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index is an optimized index designed to maximize exposure to positive environmental, social and governance (""ESG"") characteristics, while exhibiting risk and return characteristics similar to the MSCI USA Index."
Invesco MSCI Sustainable Future ETFNYSE Arca:ERTH    ,ERTH,ETF Profile,0.55%,0.55%,$459M,$0.4369/0.71%,0.76%,10/24/2006,-4.65%,+5.39%,-3.37%,+2.51%,+2.51%,+28.31%,+19.26%,+14.42%,+8.37%,$59.65 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ERTH&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ERTH,The investment seeks to track the investment results (before fees and expenses) of the MSCI Global Environment Select Index.The fund generally invests at least 90% of its total assets in the securities of companies that comprise the underlying index. The underlying index is a custom index comprised of companies that the index methodology has determined focus on offering products or services that contribute to a more environmentally sustainable economy by making a more efficient use of limited global natural resources.
First Trust Water ETFNYSE Arca:FIW    ,FIW,ETF Profile,0.54%,0.54%,$2B,$0.3536/0.42%,0.37%,05/08/2007,+5.75%,+11.48%,+13.71%,+31.99%,+31.99%,+29.99%,+19.98%,+17.28%,+12.06%,$83.30 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=FIW&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=FIW,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the ISE Clean Edge Water Index.The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is designed to track the performance of small, mid and large capitalization companies that derive a substantial portion of their revenues from the potable water and wastewater industry, according to Clean Edge."
Impact Shares Sustainable Development Goals Global Equity ETFNYSE Arca:SDGA    ,SDGA,ETF Profile,0.75%,0.75%,$6M,$0.3166/1.21%,1.07%,09/24/2018,+6.15%,+9.90%,+9.14%,+18.76%,+18.76%,+19.47%,--,--,+14.98%,$25.95 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=SDGA&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SDGA,"The investment seeks investment results that, before fees and expenses, track the performance of the Morningstar® Societal Development Index.The fund will, under normal circumstances, invest at least 80% of its total assets plus any borrowings for investment purposes in component securities of the underlying index. The underlying index is constructed using a rules based methodology to select companies with specific characteristics from the Morningstar® Global Markets Large-Mid Index (parent index). The fund is non-diversified."
Ameresco Inc NYSE: AMRC,AMRC,Stock Summary,,,,No dividend,,,,,,,,,,,,$48.68,1.28,40.43x,2.5B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=AMRC&c_name=invest_VENDOR,,
iShares ESG Aware MSCI USA ETFNASDAQ:ESGU    ,ESGU,ETF Profile,0.15%,0.15%,$26B,$1.15/1.14%,1.06%,12/01/2016,+3.96%,+9.91%,+10.24%,+26.89%,+26.89%,+26.99%,+18.88%,--,+18.97%,$98.77 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=ESGU&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ESGU,"The investment seeks to track the investment results of the MSCI USA Extended ESG Focus Index.The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The underlying index is an optimized equity index designed to reflect the equity performance of U.S. companies that have favorable environmental, social and governance (""ESG"") characteristics (as determined by the index provider), while exhibiting risk and return characteristics similar to those of the MSCI USA Index (the ""parent index"")."
Fidelity MSCI Information Technology Index ETFNYSE Arca:FTEC    ,FTEC,ETF Profile,0.08%,0.08%,$7B,$0.849/0.70%,0.63%,10/21/2013,+2.54%,+14.36%,+15.36%,+30.49%,+30.49%,+41.53%,+31.04%,--,+24.27%,$118.96 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=FTEC&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=FTEC,"The investment seeks to provide investment returns that correspond, before fees and expenses, generally to the performance of the MSCI USA IMI Information Technology 25/50 Index.The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Information Technology 25/50 Index, which represents the performance of the information technology sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Information Technology 25/50 Index. The fund is non-diversified."
Vanguard FTSE Social Index Fund Admiral VFTAX    ,VFTAX,Mutual Fund Profiles,0.14%**,0.14%**,$17B,,0.94%,02/07/2019,+3.79%,+10.83%,,+27.71%,+27.71%,+28.02%,+20.27%,+18.05%,+25.62%,$42.02 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=VFTAX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VFTAX,"The investment seeks to track the performance of the FTSE4Good US Select Index that measures the investment return of large- and mid-capitalization stocks.The advisor employs an indexing investment approach designed to track the performance of the index. The index, which is market-capitalization weighted, is composed of large- and mid-cap stocks of companies that are screened for certain ESG criteria by the index sponsor. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."

B
Vanguard Information Technology Index Fund Admiral Shares VITAX    ,VITAX,Mutual Fund Profiles,0.10%**,0.10%**,$65B,,0.64%,03/25/2004,+2.59%,+14.27%,,+30.37%,+30.37%,+41.45%,+31.80%,+23.68%,+14.89%,$206.08 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=VITAX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VITAX,"The investment seeks to track the performance of a benchmark index.The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index/Information Technology 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the Global Industry Classification Standard. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified."
Vanguard 500 Index Fund Admiral Shares VFIAX    ,VFIAX,Mutual Fund Profiles,0.04%**,0.04%**,$856B,,1.24%,11/13/2000,+4.48%,+11.02%,,+28.66%,+28.66%,+26.03%,+18.43%,+16.51%,+8.21%,$406.11 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=VFIAX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VFIAX,"The investment seeks to track the performance of the Standard & Poor‘s 500 Index that measures the investment return of large-capitalization stocks.The fund employs an indexing investment approach designed to track the performance of the Standard & Poor's 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
Vanguard S&P 500 ETFNYSE Arca:VOO    ,VOO,ETF Profile,0.03%,0.03%,$856B,$5.44/1.32%,1.25%,09/07/2010,+4.55%,+11.09%,+11.70%,+28.78%,+28.78%,+26.01%,+18.40%,+16.52%,+16.06%,$402.69 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VOO&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VOO,"The investment seeks to track the performance of the Standard & Poor‘s 500 Index that measures the investment return of large-capitalization stocks.The fund employs an indexing investment approach designed to track the performance of the Standard & Poor's 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
Vanguard S&P 500 Value Index Fund ETF SharesNYSE Arca:VOOV    ,VOOV,ETF Profile,0.10%,0.10%,$3B,$2.83/1.90%,1.87%,09/07/2010,+7.09%,+8.26%,+7.34%,+24.85%,+24.85%,+18.51%,+11.76%,+13.10%,+12.65%,$146.75 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=VOOV&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VOOV,"The investment seeks to track the performance of the S&P 500® Value Index that measures the investment return of large-capitalization value stocks in the United States.The fund employs an indexing investment approach designed to track the performance of the S&P 500® Value Index, which represents the value companies, as determined by the index sponsor, of the S&P 500 Index. The index measures the performance of large-capitalization value companies in the United States."
iShares MSCI KLD 400 Social ETFNYSE Arca:DSI    ,DSI,ETF Profile,0.25%,0.25%,$4B,$0.9182/1.06%,0.99%,11/14/2006,+4.04%,+12.00%,+12.85%,+31.32%,+31.32%,+27.71%,+19.34%,+16.44%,+10.61%,$84.98 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=DSI&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=DSI,"The investment seeks to track the investment results of the MSCI KLD 400 Social Index composed of U.S. companies that have positive environmental, social and governance characteristics.The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index is a free float-adjusted market capitalization index designed to provide exposure to U.S. companies that have positive environmental, social and governance (""ESG"") characteristics."
Vanguard Growth Index Fund ETF SharesNYSE Arca:VUG    ,VUG,ETF Profile,0.04%,0.04%,$187B,$1.54/0.54%,0.48%,01/26/2004,+1.57%,+10.75%,+12.16%,+27.34%,+27.34%,+34.75%,+24.75%,+19.30%,+12.13%,$279.57 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VUG&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VUG,"The investment seeks to track the performance of the CRSP US Large Cap Growth Index that measures the investment return of large-capitalization growth stocks.The fund employs an indexing investment approach designed to track the performance of the index, a broadly diversified index predominantly made up of growth stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
ARK Next Generation Internet ETFNYSE Arca:ARKW    ,ARKW,ETF Profile,0.83%,0.83%,$4B,No Regular Dividends,0.00%,09/30/2014,-12.50%,-12.21%,-20.87%,-16.71%,-16.71%,+42.79%,+41.54%,--,+31.52%,$91.24 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ARKW&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ARKW,"The investment seeks long-term growth of capital.The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies that are relevant to the fund's investment theme of next generation internet. Under normal circumstances, substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. The fund is non-diversified."
ARK Innovation ETFNYSE Arca:ARKK    ,ARKK,ETF Profile,0.75%,0.75%,$16B,No Regular Dividends,0.00%,10/30/2014,-9.76%,-13.71%,-27.07%,-23.38%,-23.38%,+38.71%,+38.93%,--,+25.87%,$71.52 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ARKK&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ARKK,"The investment seeks long-term growth of capital.The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 65% of its assets) in domestic and foreign equity securities of companies that are relevant to the fund's investment theme of disruptive innovation. Its investments in foreign equity securities will be in both developed and emerging markets. It may invest in foreign securities (including investments in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"")) and securities listed on local foreign exchanges. The fund is non-diversified."
ARK Fintech Innovation ETFNYSE Arca:ARKF    ,ARKF,ETF Profile,0.75%,0.75%,$2B,No Regular Dividends,0.00%,02/01/2019,-12.06%,-17.24%,-24.51%,-17.82%,-17.82%,--,--,--,+27.18%,$31.01 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ARKF&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ARKF,"The investment seeks long-term growth of capital.The fund is an actively-managed ETF that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies that are engaged in the fund's investment theme of financial technology (""Fintech"") innovation. A company is deemed to be engaged in the theme of Fintech innovation if (i) it derives a significant portion of its revenue or market value from the theme of Fintech innovation, or (ii) it has stated its primary business to be in products and services focused on the theme of Fintech innovation. The fund is non-diversified."
ARK Autonomous Technology & Robotics ETFCboe Consolidated Listings:ARKQ    ,ARKQ,ETF Profile,0.75%,0.75%,$2B,No Regular Dividends,0.79%,09/30/2014,-4.77%,+0.25%,-9.24%,+2.56%,+2.56%,+38.84%,+30.29%,--,+21.88%,$65.31 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ARKQ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ARKQ,"The investment seeks long-term growth of capital.The fund is an actively-managed exchange-traded fund that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of autonomous technology and robotics companies that are relevant to the fund's investment theme of disruptive innovation. Substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. The fund is non-diversified."
ARK Space Exploration & Innovation ETFCboe Consolidated Listings:ARKX    ,ARKX,ETF Profile,0.75%,0.75%,$469M,No Regular Dividends,--,03/30/2021,-1.82%,-3.68%,-10.28%,--,--,--,--,--,-7.14%,$16.47 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ARKX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ARKX,"The investment seeks long-term growth of capital.The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies that are engaged in its investment theme of Space Exploration and Innovation. Under normal circumstances, substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. It is non-diversified."
"TrueShares Technology, AI and Deep Learning ETFNYSE Arca:LRNZ    ",LRNZ,ETF Profile,0.69%,0.69%,$33M,No Regular Dividends,0.00%,02/28/2020,-6.50%,+2.74%,+2.96%,-1.09%,-1.09%,--,--,--,+40.02%,$36.59 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=LRNZ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=LRNZ,"The investment seeks total return.Under normal circumstances, at least 80% of its net assets (plus any borrowings made for investment purposes) in the common stock of technology, artificial intelligence and deep learning companies. It may also invest in small and medium capitalized companies, as the Adviser believes these relatively smaller companies may provide above average capital appreciation and dividend yield. The fund is non-diversified."
,META,,,,,,,,,,,,,,,,,,,,,https://invest.ameritrade.com/grid/p/site#r=search?query=META,,
Fount Metaverse ETFNYSE Arca:MTVR    ,MTVR,ETF Profile,0.70%,0.70%,$14M,No Regular Dividends,--,10/27/2021,-1.51%,--,--,--,--,--,--,--,-5.24%,$21.45 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=MTVR&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=MTVR,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the Fount Metaverse Index (the “Index”).The fund invests in securities comprising the index. The index was designed to measure the performance of companies that develop, manufacture, distribute, or sell products or services related to metaverse technology (“Metaverse Companies”). Under normal circumstances, the fund invests at least 80% of its net assets, plus the amounts of any borrowings for investment purposes, in securities of metaverse companies. It is non-diversified."
Global X Health & Wellness ETFNASDAQ:BFIT    ,BFIT,ETF Profile,0.50%,0.50%,$40M,$0.1819/0.70%,0.65%,05/09/2016,+0.26%,-1.81%,-7.51%,+10.44%,+10.44%,+17.52%,+15.21%,--,+12.47%,$25.97 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BFIT&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BFIT,"The investment seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Health & Wellness Thematic Index.The fund invests more than 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that provide products and services that facilitate physical wellness through active and healthy lifestyles."
